   y(mm)   u(m/s)
   2.9927940e+00   9.9355865e-01
   2.9986053e+00   9.9368105e-01
   3.0044166e+00   9.9380134e-01
   3.0102278e+00   9.9391954e-01
   3.0160391e+00   9.9403570e-01
   3.0218503e+00   9.9414984e-01
   3.0276616e+00   9.9426200e-01
   3.0334728e+00   9.9437222e-01
   3.0392841e+00   9.9448052e-01
   3.0450953e+00   9.9458694e-01
   3.0509066e+00   9.9469152e-01
   3.0567178e+00   9.9479428e-01
   3.0625291e+00   9.9489527e-01
   3.0683403e+00   9.9499451e-01
   3.0741516e+00   9.9509204e-01
   3.0799628e+00   9.9518790e-01
   3.0857741e+00   9.9528211e-01
   3.0915853e+00   9.9537472e-01
   3.0973966e+00   9.9546575e-01
   3.1032078e+00   9.9555523e-01
   3.1090191e+00   9.9564314e-01
   3.1148303e+00   9.9572951e-01
   3.1206416e+00   9.9581435e-01
   3.1264528e+00   9.9589769e-01
   3.1322641e+00   9.9597954e-01
   3.1380753e+00   9.9605991e-01
   3.1438866e+00   9.9613883e-01
   3.1496978e+00   9.9621632e-01
   3.1555091e+00   9.9629240e-01
   3.1613203e+00   9.9636708e-01
   3.1671316e+00   9.9644038e-01
   3.1729428e+00   9.9651233e-01
   3.1787541e+00   9.9658293e-01
   3.1845653e+00   9.9665222e-01
   3.1903766e+00   9.9672020e-01
   3.1961878e+00   9.9678690e-01
   3.2019991e+00   9.9685233e-01
   3.2078103e+00   9.9691652e-01
   3.2136216e+00   9.9697948e-01
   3.2194328e+00   9.9704123e-01
   3.2252441e+00   9.9710179e-01
   3.2310553e+00   9.9716118e-01
   3.2368666e+00   9.9721942e-01
   3.2426778e+00   9.9727652e-01
   3.2484891e+00   9.9733251e-01
   3.2543003e+00   9.9738740e-01
   3.2601116e+00   9.9744121e-01
   3.2659228e+00   9.9749396e-01
   3.2717341e+00   9.9754567e-01
   3.2775453e+00   9.9759636e-01
   3.2833566e+00   9.9764604e-01
   3.2891678e+00   9.9769474e-01
   3.2949791e+00   9.9774248e-01
   3.3007903e+00   9.9778926e-01
   3.3066016e+00   9.9783512e-01
   3.3124128e+00   9.9788007e-01
   3.3182241e+00   9.9792412e-01
   3.3240353e+00   9.9796730e-01
   3.3298466e+00   9.9800963e-01
   3.3356578e+00   9.9805112e-01
   3.3414691e+00   9.9809179e-01
   3.3472803e+00   9.9813166e-01
   3.3530916e+00   9.9817075e-01
   3.3589028e+00   9.9820909e-01
   3.3647141e+00   9.9824667e-01
   3.3705253e+00   9.9828354e-01
   3.3763366e+00   9.9831969e-01
   3.3821478e+00   9.9835516e-01
   3.3879591e+00   9.9838995e-01
   3.3937703e+00   9.9842404e-01
   3.3995816e+00   9.9845745e-01
   3.4053928e+00   9.9849019e-01
   3.4112041e+00   9.9852227e-01
   3.4170153e+00   9.9855370e-01
   3.4228266e+00   9.9858448e-01
   3.4286378e+00   9.9861464e-01
   3.4344491e+00   9.9864417e-01
   3.4402603e+00   9.9867309e-01
   3.4460716e+00   9.9870140e-01
   3.4518828e+00   9.9872913e-01
   3.4576941e+00   9.9875627e-01
   3.4635053e+00   9.9878283e-01
   3.4693166e+00   9.9880884e-01
   3.4751278e+00   9.9883429e-01
   3.4809391e+00   9.9885920e-01
   3.4867503e+00   9.9888357e-01
   3.4925616e+00   9.9890742e-01
   3.4983728e+00   9.9893075e-01
   3.5041841e+00   9.9895358e-01
   3.5099954e+00   9.9897592e-01
   3.5158066e+00   9.9899776e-01
   3.5216179e+00   9.9901913e-01
   3.5274291e+00   9.9904004e-01
   3.5332404e+00   9.9906048e-01
   3.5390516e+00   9.9908048e-01
   3.5448629e+00   9.9910003e-01
   3.5506741e+00   9.9911916e-01
   3.5564854e+00   9.9913787e-01
   3.5622966e+00   9.9915616e-01
   3.5681079e+00   9.9917406e-01
   3.5739191e+00   9.9919156e-01
   3.5797304e+00   9.9920868e-01
   3.5855416e+00   9.9922543e-01
   3.5913529e+00   9.9924181e-01
   3.5971641e+00   9.9925783e-01
   3.6029754e+00   9.9927351e-01
   3.6087866e+00   9.9928885e-01
   3.6145979e+00   9.9930386e-01
   3.6204091e+00   9.9931855e-01
   3.6262204e+00   9.9933293e-01
   3.6320316e+00   9.9934700e-01
   3.6378429e+00   9.9936076e-01
   3.6436541e+00   9.9937422e-01
   3.6494654e+00   9.9938738e-01
   3.6552766e+00   9.9940024e-01
   3.6610879e+00   9.9941282e-01
   3.6668991e+00   9.9942511e-01
   3.6727104e+00   9.9943712e-01
   3.6785216e+00   9.9944886e-01
   3.6843329e+00   9.9946034e-01
   3.6901441e+00   9.9947154e-01
   3.6959554e+00   9.9948249e-01
   3.7017666e+00   9.9949319e-01
   3.7075779e+00   9.9950364e-01
   3.7133891e+00   9.9951384e-01
   3.7192004e+00   9.9952381e-01
   3.7250116e+00   9.9953354e-01
   3.7308229e+00   9.9954304e-01
   3.7366341e+00   9.9955232e-01
   3.7424454e+00   9.9956138e-01
   3.7482566e+00   9.9957022e-01
   3.7540679e+00   9.9957885e-01
   3.7598791e+00   9.9958728e-01
   3.7656904e+00   9.9959551e-01
   3.7715016e+00   9.9960354e-01
   3.7773129e+00   9.9961137e-01
   3.7831241e+00   9.9961903e-01
   3.7889354e+00   9.9962650e-01
   3.7947466e+00   9.9963379e-01
   3.8005579e+00   9.9964091e-01
   3.8063691e+00   9.9964786e-01
   3.8121804e+00   9.9965464e-01
   3.8179916e+00   9.9966127e-01
   3.8238029e+00   9.9966774e-01
   3.8296141e+00   9.9967406e-01
   3.8354254e+00   9.9968024e-01
   3.8412366e+00   9.9968627e-01
   3.8470479e+00   9.9969216e-01
   3.8528591e+00   9.9969791e-01
   3.8586704e+00   9.9970352e-01
   3.8644816e+00   9.9970900e-01
   3.8702929e+00   9.9971435e-01
   3.8761041e+00   9.9971956e-01
   3.8819154e+00   9.9972465e-01
   3.8877266e+00   9.9972962e-01
   3.8935379e+00   9.9973446e-01
   3.8993491e+00   9.9973918e-01
   3.9051604e+00   9.9974379e-01
   3.9109716e+00   9.9974828e-01
   3.9167829e+00   9.9975266e-01
   3.9225941e+00   9.9975693e-01
   3.9284054e+00   9.9976109e-01
   3.9342166e+00   9.9976514e-01
   3.9400279e+00   9.9976910e-01
   3.9458391e+00   9.9977295e-01
   3.9516504e+00   9.9977670e-01
   3.9574616e+00   9.9978036e-01
   3.9632729e+00   9.9978393e-01
   3.9690841e+00   9.9978740e-01
   3.9748954e+00   9.9979079e-01
   3.9807066e+00   9.9979409e-01
   3.9865179e+00   9.9979730e-01
   3.9923291e+00   9.9980044e-01
   3.9981404e+00   9.9980349e-01
   4.0039517e+00   9.9980646e-01
   4.0097629e+00   9.9980937e-01
   4.0155742e+00   9.9981219e-01
   4.0213854e+00   9.9981495e-01
   4.0271967e+00   9.9981764e-01
   4.0330079e+00   9.9982026e-01
   4.0388192e+00   9.9982281e-01
   4.0446304e+00   9.9982531e-01
   4.0504417e+00   9.9982774e-01
   4.0562529e+00   9.9983010e-01
   4.0620642e+00   9.9983241e-01
   4.0678754e+00   9.9983466e-01
   4.0736867e+00   9.9983685e-01
   4.0794979e+00   9.9983898e-01
   4.0853092e+00   9.9984106e-01
   4.0911204e+00   9.9984308e-01
   4.0969317e+00   9.9984505e-01
   4.1027429e+00   9.9984697e-01
   4.1085542e+00   9.9984883e-01
